post_date,sheikh,series_name,khutbah_title,audio_length,location_or_online,series_part
12/18/2025 12:52 AM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,14:17,جامعالورود,6
12/18/2025 1:42 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,16:01,جامعالورود من كتاب الصلاة ( ٢ ),4
12/18/2025 1:45 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,16:37,جامعالورود من كتاب الصلاة ( ٣ ),5
12/18/2025 1:52 AM,حسن بن محمد منصور الدغريري,الأفنان الندية - باب الأرض الموات -,,11:39,عن بعد,
12/18/2025 1:52 AM,حسن بن محمد منصور الدغريري,الأفنان الندية - باب الأرض الموات -,,19:41,عن بعد,
12/18/2025 2:05 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,44:32,جامعالورود,4
12/18/2025 2:07 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,52:52,جامعالورود,5
12/18/2025 2:33 AM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,10:27,عن بعد,5
12/22/2025 10:39 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,29:17,عن بعد,
12/22/2025 11:07 AM,حسن بن محمد منصور الدغريري,التحفة النجمية بشرح الأربعين النووية,,52:42,جامعالورود,
12/22/2025 11:26 AM,حسن بن محمد منصور الدغريري,مختصر السيرة النبوية,,43:13,جامعالورود,
12/22/2025 2:56 PM,حسن بن محمد منصور الدغريري,التفسير الميسر ( سورة البروج ),,22:17,,4
12/22/2025 3:05 PM,حسن بن محمد منصور الدغريري,التعليقات البهية على الرسائل العقدية,,33:42,جامعالورود,8
12/22/2025 3:17 PM,حسن بن محمد منصور الدغريري,المورد العذب الزلال,,35:22,جامعالورود,6
12/22/2025 4:03 PM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,48:06,جامعالورود,2
12/22/2025 4:42 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,12:04,جامعالورود,8
